customer_id,customer_segment,campaign_strategy
u12347,Top-performing customers,Send birthday and anniversary cards    with discount vouchers. Create a referral program where customers can get discounts on the first purchase of their     referrals.
u12348,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
u12349,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
u1235,Inactive customers,Send personalized emails containing special offers    with discounted or free items to encourage them to order and be active.
u12352,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
u12353,Inactive customers,Send personalized emails containing special offers    with discounted or free items to encourage them to order and be active.
u12354,Customers at risk,Send personalized emails containing     promotional items or free samples to encourage them to be more active.
u12355,Customers at risk,Send personalized emails containing     promotional items or free samples to encourage them to be more active.
u12356,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
u12357,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
u12358,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
u12359,Top-performing customers,Send birthday and anniversary cards    with discount vouchers. Create a referral program where customers can get discounts on the first purchase of their     referrals.
u1236,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
u12361,Inactive customers,Send personalized emails containing special offers    with discounted or free items to encourage them to order and be active.
u12362,Top-performing customers,Send birthday and anniversary cards    with discount vouchers. Create a referral program where customers can get discounts on the first purchase of their     referrals.
u12363,Customers at risk,Send personalized emails containing     promotional items or free samples to encourage them to be more active.
u12364,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
u12365,Inactive customers,Send personalized emails containing special offers    with discounted or free items to encourage them to order and be active.
u12367,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
u1237,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
u12371,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
u12372,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
u12373,Inactive customers,Send personalized emails containing special offers    with discounted or free items to encourage them to order and be active.
u12374,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
u12375,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
u12377,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
u12378,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
u12379,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
u1238,Top-performing customers,Send birthday and anniversary cards    with discount vouchers. Create a referral program where customers can get discounts on the first purchase of their     referrals.
u12381,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
u12383,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
u12384,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
u12386,Customers at risk,Send personalized emails containing     promotional items or free samples to encourage them to be more active.
u12388,Top-performing customers,Send birthday and anniversary cards    with discount vouchers. Create a referral program where customers can get discounts on the first purchase of their     referrals.
u1239,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
u12391,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
u12393,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
u12394,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
u12395,Top-performing customers,Send birthday and anniversary cards    with discount vouchers. Create a referral program where customers can get discounts on the first purchase of their     referrals.
u12397,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
u12398,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
u12399,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
u12401,Inactive customers,Send personalized emails containing special offers    with discounted or free items to encourage them to order and be active.
u12402,Inactive customers,Send personalized emails containing special offers    with discounted or free items to encourage them to order and be active.
u12403,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
u12405,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
u12406,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
u12407,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
u12408,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
u12409,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
u1241,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
u12412,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
u12413,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
u12414,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
u12415,Top-performing customers,Send birthday and anniversary cards    with discount vouchers. Create a referral program where customers can get discounts on the first purchase of their     referrals.
u12417,Top-performing customers,Send birthday and anniversary cards    with discount vouchers. Create a referral program where customers can get discounts on the first purchase of their     referrals.
u12418,Customers at risk,Send personalized emails containing     promotional items or free samples to encourage them to be more active.
u1242,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
u12421,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
u12422,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
u12423,Top-performing customers,Send birthday and anniversary cards    with discount vouchers. Create a referral program where customers can get discounts on the first purchase of their     referrals.
u12424,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
u12425,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
u12426,Customers at risk,Send personalized emails containing     promotional items or free samples to encourage them to be more active.
u12427,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
u12428,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
u12429,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
u1243,Customers at risk,Send personalized emails containing     promotional items or free samples to encourage them to be more active.
u12431,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
u12432,Active customers,Create loyalty rewards program where     customers can earn points for every purchase and convert these points into discount or voucher.
u12433,Top-performing customers,Send birthday and anniversary cards    with discount vouchers. Create a referral program where customers can get discounts on the first purchase of their     referrals.
u12434,Unsteady customers,"Send emails with discounted or     promotional items for every occasion, including birthdays, Mother's Day, Father's Day, and Christmas."
